bin_start,bin_end,count
-4.535714285714286,-4.3098214285714285,2
-4.3098214285714285,-4.083928571428571,1
-4.083928571428571,-3.8580357142857142,1
-3.8580357142857142,-3.632142857142857,2
-3.632142857142857,-3.40625,12
-3.40625,-3.180357142857143,11
-3.180357142857143,-2.9544642857142858,28
-2.9544642857142858,-2.7285714285714286,78
-2.7285714285714286,-2.5026785714285715,110
-2.5026785714285715,-2.2767857142857144,334
-2.2767857142857144,-2.0508928571428573,839
-2.0508928571428573,-1.8250000000000002,1971
-1.8250000000000002,-1.599107142857143,4869
-1.599107142857143,-1.373214285714286,10453
-1.373214285714286,-1.1473214285714288,9053
-1.1473214285714288,-0.9214285714285717,24830
-0.9214285714285717,-0.6955357142857146,37133
-0.6955357142857146,-0.4696428571428575,50333
-0.4696428571428575,-0.24375000000000036,63768
-0.24375000000000036,-0.017857142857143238,36921
-0.017857142857143238,0.20803571428571388,70653
0.20803571428571388,0.433928571428571,62215
0.433928571428571,0.6598214285714281,47858
0.6598214285714281,0.8857142857142852,33418
0.8857142857142852,1.1116071428571423,13073
1.1116071428571423,1.3374999999999995,16776
1.3374999999999995,1.5633928571428566,9095
1.5633928571428566,1.7892857142857137,3934
1.7892857142857137,2.015178571428571,1385
2.015178571428571,2.241071428571428,361
2.241071428571428,2.466964285714285,283
2.466964285714285,2.692857142857142,125
2.692857142857142,2.9187499999999993,53
2.9187499999999993,3.1446428571428564,12
3.1446428571428564,3.3705357142857135,2
3.3705357142857135,3.5964285714285706,7
3.5964285714285706,3.822321428571427,0
3.822321428571427,4.048214285714285,0
4.048214285714285,4.274107142857143,0
4.274107142857143,4.5,1
